Directory,Filename,spine_height,trunk_mass,sex,Min Age (year),Max Age (year),height (m),weight (kg)
.\Male\Age6069,136_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.455894229,69.13137816,male,60,69,1.810590278,115.1999801
.\Male\Age6069,143_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.401088807,62.02696775,male,60,69,1.592929779,103.361247
.\Male\Age6069,203_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.422424552,46.45191418,male,60,69,1.67766499,77.40710127
.\Male\Age6069,220_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.438934979,48.36464005,male,60,69,1.74323638,80.59445249
.\Male\Age6069,236_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.41087844,51.91684526,male,60,69,1.631809444,86.51381906
.\Male\Age6069,324_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.445108404,52.73658492,male,60,69,1.767754223,87.87982673
.\Male\Age6069,422_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.46581374,43.44620208,male,60,69,1.849985752,72.39840648
.\Male\Age6069,501_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.436217054,48.0913935,male,60,69,1.732442101,80.1391166
.\Male\Age6069,547_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.46911771,72.95682991,male,60,69,1.863107518,121.5746826
.\Male\Age6069,579_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.442275022,69.13137816,male,60,69,1.756501406,115.1999801
.\Male\Age6069,599_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.424062728,42.89970898,male,60,69,1.684171026,71.4877347
.\Male\Age6069,604_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.456899457,53.28307803,male,60,69,1.814582554,88.79049851
.\Male\Age6069,613_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.473332135,59.84099532,male,60,69,1.879845165,99.71855987
.\Male\Age6069,622_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.410844523,48.63788661,male,60,69,1.631674742,81.04978838
.\Male\Age6069,630_SizeScaled_CurvatureAdjust_MuscleAdjust.osim,0.443057685,62.30021431,male,60,69,1.759609766,103.8165829
